Name	TrialOnset	trial number	Sound Stimulus	Left Image	Center Image	Right Image	target side	condition	Used	TrStart	PictOn	SoundOn	TrEnd	CritOnset	CritOffset
SwitchingCues-NC4B	Sound	1	intro	fireworks_left		fireworks_right	N	filler	no						
SwitchingCues-NC4B	Sound	2	Can_wow1	donut		can	R	1A	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	3	Necklace_cool1	muffin		necklace	R	1A	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	4	Bib_check1	bib		comb	L	1A	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	5	Scissors_check2	plate		scissors	R	1A	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	6	Glove_cool2	glove		lamp	L	1B	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	7	Sock_wow2	sock		purse	L	1B	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	8	Shorts_cool1	bucket		shorts	R	1B	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	9	Hose_check2	hose		shovel	L	1B	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	10	Brown_Look_wow1	chalk		pudding	R	2A	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	11	Yellow_Find_wow2	puzzle		tape	L	2A	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	12	Green_Where_check2	belt		slipper	R	2A	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	13	Orange_Find_check1	dress		glasses	L	2A	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	14	White_Find_cool2	flag		ladder	L	2B	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	15	Orange_Where_cool1	crib		slide	R	2B	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	16	Yellow_Find_wow1	hammer		zipper	R	2B	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	17	Red_Where_check1	knife		boot	L	2B	yes	0	0	0	6500	1024	0
SwitchingCues-NC4B	Sound	18	end	fireworks_left		fireworks_right	N	filler	no						
