Name	TrialOnset	trial number	Sound Stimulus	Left Image	Center Image	Right Image	target side	condition	Used	TrStart	PictOn	SoundOn	TrEnd	CritOnset	CritOffset
SwitchingCues-NC3A	Sound	1	intro	fireworks_left		fireworks_right	N	filler	no						
SwitchingCues-NC3A	Sound	2	Chalk_wow1	chalk		pudding	L	1A	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	3	Tape_wow2	puzzle		tape	R	1A	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	4	Belt_check2	belt		slipper	L	1A	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	5	Glasses_check1	dress		glasses	R	1A	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	6	Ladder_cool2	flag		ladder	R	1B	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	7	Crib_cool1	crib		slide	L	1B	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	8	Hammer_wow1	hammer		zipper	L	1B	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	9	Boot_check1	knife		boot	R	1B	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	10	Yellow_Find_wow1	donut		can	L	2A	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	11	Brown_Look_cool1	muffin		necklace	L	2A	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	12	Red_Where_check1	bib		comb	R	2A	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	13	Orange_Find_check2	plate		scissors	L	2A	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	14	White_Find_cool2	glove		lamp	R	2B	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	15	Orange_Where_wow2	sock		purse	R	2B	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	16	Green_Look_cool1	bucket		shorts	L	2B	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	17	Yellow_Where_check2	hose		shovel	R	2B	yes	0	0	0	6500	1024	0
SwitchingCues-NC3A	Sound	18	end	fireworks_left		fireworks_right	N	filler	no						
